location,forecast_date,quantile,value,target,target_end_date,type
09,2021-04-19,0.025,24.144202607397567,1 wk ahead inc death,2021-04-24,quantile
09,2021-04-19,0.05,25.012621546657662,1 wk ahead inc death,2021-04-24,quantile
09,2021-04-19,0.1,28.500678615433902,1 wk ahead inc death,2021-04-24,quantile
09,2021-04-19,0.15,29.808847983964906,1 wk ahead inc death,2021-04-24,quantile
09,2021-04-19,0.2,31.92433891302424,1 wk ahead inc death,2021-04-24,quantile
09,2021-04-19,0.25,35.64068847715839,1 wk ahead inc death,2021-04-24,quantile
09,2021-04-19,0.3,40.171890804549115,1 wk ahead inc death,2021-04-24,quantile
09,2021-04-19,0.35,45.51670022380834,1 wk ahead inc death,2021-04-24,quantile
09,2021-04-19,0.4,48.835434206791334,1 wk ahead inc death,2021-04-24,quantile
09,2021-04-19,0.45,50.50360165925787,1 wk ahead inc death,2021-04-24,quantile
09,2021-04-19,0.5,52.10179581551407,1 wk ahead inc death,2021-04-24,quantile
09,2021-04-19,0.55,53.380905618519186,1 wk ahead inc death,2021-04-24,quantile
09,2021-04-19,0.6,56.32258226638293,1 wk ahead inc death,2021-04-24,quantile
09,2021-04-19,0.65,61.08436270705502,1 wk ahead inc death,2021-04-24,quantile
09,2021-04-19,0.7,63.377091109700316,1 wk ahead inc death,2021-04-24,quantile
09,2021-04-19,0.75,65.01846605516103,1 wk ahead inc death,2021-04-24,quantile
09,2021-04-19,0.8,68.1090861664213,1 wk ahead inc death,2021-04-24,quantile
09,2021-04-19,0.85,79.73353168218839,1 wk ahead inc death,2021-04-24,quantile
09,2021-04-19,0.9,86.09314187447785,1 wk ahead inc death,2021-04-24,quantile
09,2021-04-19,0.95,90.99793977826276,1 wk ahead inc death,2021-04-24,quantile
09,2021-04-19,0.975,98.28828056586786,1 wk ahead inc death,2021-04-24,quantile
09,2021-04-19,0.99,105.93971044444604,1 wk ahead inc death,2021-04-24,quantile
11,2021-04-19,0.01,0,1 wk ahead inc death,2021-04-24,quantile
11,2021-04-19,0.025,0,1 wk ahead inc death,2021-04-24,quantile
